Date,Open,High,Low,Close
04/02/2025,"5,672.00","5,773.25","5,566.25","5,712.25"
04/01/2025,"5,644.25","5,694.75","5,600.25","5,674.50"
03/31/2025,"5,590.00","5,672.75","5,533.75","5,653.25"
03/28/2025,"5,741.75","5,747.75","5,602.25","5,623.00"
03/27/2025,"5,737.25","5,779.75","5,720.00","5,739.25"
03/26/2025,"5,831.00","5,836.50","5,743.00","5,759.50"
03/25/2025,"5,813.00","5,837.25","5,802.25","5,826.50"
03/24/2025,"5,740.00","5,825.50","5,739.00","5,815.50"
03/21/2025,"5,715.25","5,723.75","5,651.25","5,718.25"
03/20/2025,"5,731.75","5,765.25","5,682.50","5,712.75"
03/19/2025,"5,670.50","5,770.50","5,657.50","5,729.75"
03/18/2025,"5,731.50","5,738.25","5,650.75","5,669.25"
03/17/2025,"5,678.75","5,759.75","5,651.50","5,732.25"
03/14/2025,"5,540.00","5,648.75","5,538.75","5,640.00"
03/13/2025,"5,596.50","5,623.00","5,509.25","5,527.50"
03/12/2025,"5,580.00","5,675.00","5,550.25","5,604.75"
03/11/2025,"5,622.00","5,651.75","5,534.00","5,577.00"
03/10/2025,"5,753.00","5,757.75","5,571.50","5,620.75"
03/07/2025,"5,766.00","5,791.00","5,673.00","5,776.00"
03/06/2025,"5,844.75","5,853.50","5,720.00","5,746.25"
03/05/2025,"5,832.00","5,869.50","5,750.75","5,851.25"
03/04/2025,"5,874.00","5,884.00","5,744.00","5,789.50"
03/03/2025,"5,967.50","6,000.50","5,821.75","5,860.75"
02/28/2025,"5,883.00","5,971.00","5,848.00","5,963.25"
02/27/2025,"5,980.00","6,014.50","5,873.00","5,876.25"
02/26/2025,"5,982.00","6,023.75","5,945.50","5,970.75"
02/25/2025,"6,006.50","6,016.00","5,924.00","5,970.00"
02/24/2025,"6,040.75","6,067.50","5,994.50","6,000.75"
02/21/2025,"6,132.50","6,142.50","6,024.50","6,029.00"
02/20/2025,"6,153.75","6,159.50","6,102.75","6,136.50"
02/19/2025,"6,143.75","6,166.50","6,129.25","6,163.00"
02/18/2025,"6,145.25","6,157.75","6,118.25","6,146.75"
02/14/2025,"6,131.75","6,146.75","6,121.25","6,132.00"
02/13/2025,"6,079.75","6,138.00","6,053.50","6,135.25"
02/12/2025,"6,090.75","6,098.00","6,020.75","6,072.75"
02/11/2025,"6,085.50","6,098.75","6,057.75","6,092.25"
02/10/2025,"6,016.00","6,096.00","6,014.00","6,088.75"
02/07/2025,"6,089.75","6,123.25","6,041.25","6,049.50"
02/06/2025,"6,090.25","6,108.50","6,070.00","6,106.00"
02/05/2025,"6,042.75","6,092.00","6,020.25","6,086.50"
02/04/2025,"6,069.00","6,069.00","5,987.00","6,063.00"
02/03/2025,"5,982.25","6,062.00","5,935.50","6,022.25"
01/31/2025,"6,106.00","6,147.75","6,057.75","6,067.25"
01/30/2025,"6,068.50","6,116.25","6,056.50","6,099.25"
01/29/2025,"6,090.75","6,111.50","6,042.25","6,067.50"
01/28/2025,"6,059.50","6,105.50","6,023.50","6,097.00"
01/27/2025,"6,102.25","6,105.25","5,948.00","6,046.75"
01/24/2025,"6,148.00","6,162.25","6,122.00","6,133.25"
01/23/2025,"6,120.00","6,154.00","6,101.50","6,152.00"
01/22/2025,"6,094.00","6,135.75","6,087.00","6,120.50"
01/21/2025,"6,060.50","6,093.25","5,994.50","6,084.25"
01/17/2025,"5,970.25","6,051.50","5,968.00","6,033.50"
01/16/2025,"5,988.50","6,017.50","5,961.75","5,975.50"
01/15/2025,"5,891.50","6,001.25","5,879.50","5,989.00"
01/14/2025,"5,887.25","5,918.50","5,842.50","5,882.25"
01/13/2025,"5,864.50","5,883.25","5,809.00","5,874.50"
01/10/2025,"5,943.75","5,959.25","5,845.25","5,866.25"
01/08/2025,"5,955.50","5,975.00","5,917.00","5,959.25"
01/07/2025,"6,028.00","6,045.50","5,935.00","5,954.25"
01/06/2025,"5,994.50","6,068.25","5,980.75","6,020.50"
01/03/2025,"5,921.00","5,996.75","5,911.25","5,989.50"
01/02/2025,"5,949.25","5,995.25","5,874.75","5,916.50"
12/31/2024,"5,955.00","5,983.25","5,917.25","5,935.75"
12/30/2024,"6,028.75","6,036.25","5,918.25","5,958.75"
12/27/2024,"6,092.00","6,095.25","5,982.75","6,027.00"
12/26/2024,"6,099.25","6,107.50","6,063.25","6,095.25"
12/24/2024,"6,037.75","6,099.50","6,030.00","6,098.00"
12/23/2024,"6,001.75","6,043.00","5,965.00","6,036.00"
12/20/2024,"5,944.50","6,050.75","5,866.00","6,001.75"
12/19/2024,"5,949.50","6,005.25","5,931.25","5,934.00"
12/18/2024,"6,126.75","6,148.00","5,906.50","5,940.25"
12/17/2024,"6,150.25","6,152.75","6,114.25","6,127.25"
12/16/2024,"6,125.50","6,163.75","6,122.00","6,154.00"
12/13/2024,"6,065.00","6,085.25","6,041.25","6,055.50"
12/12/2024,"6,087.50","6,088.25","6,055.50","6,060.75"
12/11/2024,"6,052.75","6,102.50","6,045.50","6,092.75"
12/10/2024,"6,065.25","6,075.25","6,039.75","6,046.25"
12/09/2024,"6,096.25","6,105.75","6,060.00","6,065.75"
12/06/2024,"6,085.50","6,111.00","6,076.00","6,099.00"
12/05/2024,"6,095.25","6,107.25","6,081.50","6,088.75"
12/04/2024,"6,067.00","6,102.25","6,063.00","6,098.50"
12/03/2024,"6,064.00","6,070.75","6,047.50","6,063.25"
12/02/2024,"6,051.50","6,068.50","6,036.00","6,061.75"
11/29/2024,"6,027.25","6,060.00","6,018.00","6,051.50"
11/27/2024,"6,041.75","6,047.00","6,000.25","6,015.00"
11/26/2024,"6,013.25","6,044.00","5,976.25","6,038.25"
11/25/2024,"6,006.00","6,040.00","5,982.50","6,006.50"
11/22/2024,"5,967.00","5,993.50","5,940.75","5,987.00"
11/21/2024,"5,937.25","5,985.00","5,905.25","5,970.50"
11/20/2024,"5,937.75","5,957.75","5,880.00","5,937.75"
11/19/2024,"5,919.00","5,947.50","5,855.00","5,938.75"
11/18/2024,"5,899.75","5,933.00","5,886.50","5,920.00"
